2.000000000000000000e+03	2.300000000000000000e+01
2.001000000000000000e+03	5.500000000000000000e+01
2.002000000000000000e+03	3.200000000000000000e+01
2.003000000000000000e+03	6.500000000000000000e+01
2.004000000000000000e+03	8.800000000000000000e+01 
2.005000000000000000e+03	5.000000000000000000e+00
2.006000000000000000e+03	1.400000000000000000e+01 
2.007000000000000000e+03	6.700000000000000000e+01   
2.008000000000000000e+03	2.300000000000000000e+01
2.009000000000000000e+03	2.300000000000000000e+01
2.010000000000000000e+03	1.200000000000000000e+01
